grad_steps,_timestamp,returned_episode,test_returned_episode_lengths,qvals,env_step,test_returned_won_episode,returned_won_episode,test_returned_episode_returns,test_returned_episode,loss,_step,update_steps,_runtime,returned_episode_returns,returned_episode_lengths
25664,1746456838.8954298,0.0078125,90.88671875,-0.973068356513977,4975104.0,0.86328125,0.2265625,1.8520673513412476,1.0,0.16854237020015717,3238,3239,1001.195074871,0.5229200720787048,27.26041603088379
25736,1746456841.5782144,0.0078125,90.88671875,-1.0088937282562256,4988928.0,0.86328125,0.21875,1.8520673513412476,1.0,0.1542196422815323,3247,3248,1003.877786423,0.49108070135116577,26.31380271911621
25984,1746456850.863952,0.0078125,90.380859375,-0.7996007204055786,5036544.0,0.9140625,0.2239583283662796,1.9040024280548096,1.0,0.207938551902771,3278,3279,1013.163691245,0.5097811818122864,27.29166603088379
26240,1746456860.379917,0.0078125,90.380859375,-0.677270770072937,5085696.0,0.9140625,0.26171875,1.9040024280548096,1.0,0.1683310866355896,3310,3311,1022.679503721,0.5433541536331177,26.11328125
26352,1746456864.54203,0.0078125,90.380859375,-0.4937279224395752,5107200.0,0.9140625,0.21484375,1.9040024280548096,1.0,0.1199900358915329,3324,3325,1026.841637831,0.48542702198028564,25.89322853088379
26376,1746456865.4329295,0.0078125,90.380859375,-0.4726909399032593,5111808.0,0.9140625,0.1946614533662796,1.9040024280548096,1.0,0.1372682899236679,3327,3328,1027.73251095,0.47111454606056213,26.89192771911621
26416,1746456866.9110177,0.0078125,90.380859375,-0.43698781728744507,5119488.0,0.9140625,0.2350260466337204,1.9040024280548096,1.0,0.12723740935325623,3332,3333,1029.210650523,0.5094435214996338,26.05989646911621
26816,1746456881.7490597,0.0078125,90.380859375,-0.38501864671707153,5196288.0,0.9140625,0.1770833283662796,1.9040024280548096,1.0,0.11822421848773956,3382,3383,1044.048683768,0.46085241436958313,26.94010353088379
26928,1746456885.8978047,0.0078125,90.380859375,-0.37166911363601685,5217792.0,0.9140625,0.2311197966337204,1.9040024280548096,1.0,0.11927042156457901,3396,3397,1048.197422321,0.5271831154823303,27.86979103088379
26952,1746456886.7822332,0.0078125,90.380859375,-0.37692293524742126,5222400.0,0.9140625,0.2024739533662796,1.9040024280548096,1.0,0.12387339770793915,3399,3400,1049.081787816,0.4776197075843811,26.3203125
26968,1746456887.3811462,0.0078125,90.380859375,-0.38881224393844604,5225472.0,0.9140625,0.2545572817325592,1.9040024280548096,1.0,0.13761109113693237,3401,3402,1049.680705872,0.5228958129882812,25.59375
27032,1746456889.7668529,0.0078125,90.380859375,-0.4057624042034149,5237760.0,0.9140625,0.2265625,1.9040024280548096,1.0,0.16128882765769958,3409,3410,1052.06659087,0.5078992247581482,26.82942771911621
27136,1746456893.6100774,0.0078125,90.380859375,-0.48397088050842285,5257728.0,0.9140625,0.2565104067325592,1.9040024280548096,1.0,0.13551528751850128,3422,3423,1055.909660192,0.5586223602294922,27.57552146911621
27368,1746456902.2447865,0.0078125,90.380859375,-0.4460650384426117,5302272.0,0.9140625,0.1953125,1.9040024280548096,1.0,0.11457809805870056,3451,3452,1064.544481789,0.4689001142978668,26.40494728088379
27392,1746456903.1304123,0.0078125,90.380859375,-0.4275582432746887,5306880.0,0.9140625,0.2122395783662796,1.9040024280548096,1.0,0.12213002145290375,3454,3455,1065.430002075,0.485517293214798,26.76953125
27832,1746456919.4927902,0.0078125,90.380859375,-0.3542965054512024,5391360.0,0.9140625,0.2779947817325592,1.9040024280548096,1.0,0.10407461225986481,3509,3510,1081.79236814,0.5559895038604736,25.87890625
27880,1746456921.2753067,0.0078125,90.380859375,-0.38590601086616516,5400576.0,0.9140625,0.228515625,1.9040024280548096,1.0,0.12337389588356018,3515,3516,1083.574962821,0.5010250806808472,26.2890625
28016,1746456926.3263624,0.0078125,90.380859375,-0.321418821811676,5426688.0,0.9140625,0.2311197966337204,1.9040024280548096,1.0,0.14715397357940674,3532,3533,1088.625980911,0.49761104583740234,25.59244728088379
28112,1746456929.8992202,0.0078125,90.380859375,-0.35349443554878235,5445120.0,0.9140625,0.193359375,1.9040024280548096,1.0,0.11021652817726135,3544,3545,1092.19880192,0.480426162481308,27.1640625
28144,1746456931.081495,0.0078125,90.380859375,-0.33872494101524353,5451264.0,0.9140625,0.166015625,1.9040024280548096,1.0,0.11524899303913116,3548,3549,1093.381088096,0.43240705132484436,25.84895896911621
28264,1746456935.5456138,0.0078125,90.380859375,-0.2785799205303192,5474304.0,0.9140625,0.197265625,1.9040024280548096,1.0,0.16740533709526062,3563,3564,1097.845208158,0.44943228363990784,25.45182228088379
28344,1746456938.5157301,0.0078125,90.380859375,-0.30225634574890137,5489664.0,0.9140625,0.2819010317325592,1.9040024280548096,1.0,0.10594702512025833,3573,3574,1100.815435957,0.5638020038604736,26.13932228088379
28448,1746456942.4256403,0.0078125,90.337890625,-0.2127297818660736,5509632.0,0.958984375,0.2649739682674408,1.9550151824951172,1.0,0.10954368114471436,3586,3587,1104.725230705,0.5503880381584167,26.75390625
28592,1746456947.7624044,0.0078125,90.337890625,-0.13690286874771118,5537280.0,0.958984375,0.220703125,1.9550151824951172,1.0,0.12099450826644897,3604,3605,1110.061995189,0.4947091341018677,26.578125
28656,1746456950.1504042,0.0078125,90.337890625,-0.11015525460243225,5549568.0,0.958984375,0.28125,1.9550151824951172,1.0,0.09060187637805939,3612,3613,1112.449986675,0.5624998807907104,26.1171875
28904,1746456959.358404,0.0078125,90.337890625,-0.16316238045692444,5597184.0,0.958984375,0.2727864682674408,1.9550151824951172,1.0,0.1236514300107956,3643,3644,1121.657999767,0.5667490363121033,26.84114646911621
28928,1746456960.256279,0.0078125,90.337890625,-0.16584976017475128,5601792.0,0.958984375,0.2513020932674408,1.9550151824951172,1.0,0.10308931022882462,3646,3647,1122.555947641,0.5450728535652161,26.83203125
29328,1746456975.0987973,0.0078125,90.337890625,-0.1885797679424286,5678592.0,0.958984375,0.3053385317325592,1.9550151824951172,1.0,0.09628915786743164,3696,3697,1137.398488461,0.6106770038604736,27.41145896911621
29384,1746456977.1769557,0.0078125,90.337890625,-0.25709497928619385,5689344.0,0.958984375,0.2473958283662796,1.9550151824951172,1.0,0.1220901682972908,3703,3704,1139.47657758,0.5305936932563782,26.16796875
29392,1746456977.4720783,0.0078125,90.337890625,-0.26438358426094055,5690880.0,0.958984375,0.2447916716337204,1.9550151824951172,1.0,0.11418721079826355,3704,3705,1139.771649701,0.5247533917427063,26.03515625
29464,1746456980.1360598,0.0078125,90.337890625,-0.2452002763748169,5704704.0,0.958984375,0.287109375,1.9550151824951172,1.0,0.08092772960662842,3713,3714,1142.435665253,0.5742186307907104,26.41015625
29568,1746456983.9950392,0.0078125,90.337890625,-0.28781676292419434,5724672.0,0.958984375,0.216796875,1.9550151824951172,1.0,0.08513113856315613,3726,3727,1146.294662276,0.4912013113498688,25.88802146911621
29632,1746456986.373339,0.0078125,90.337890625,-0.35001641511917114,5736960.0,0.958984375,0.2259114533662796,1.9550151824951172,1.0,0.1016736775636673,3734,3735,1148.673099483,0.5026596784591675,26.14713478088379
29768,1746456991.4149456,0.0078125,90.337890625,-0.3583187460899353,5763072.0,0.958984375,0.2513020932674408,1.9550151824951172,1.0,0.07761585712432861,3751,3752,1153.714511416,0.5392646789550781,27.125
29816,1746456993.1872342,0.0078125,90.337890625,-0.31959742307662964,5772288.0,0.958984375,0.2408854216337204,1.9550151824951172,1.0,0.08769556879997253,3757,3758,1155.486821587,0.5154339671134949,26.20833396911621
29856,1746456994.6742914,0.0078125,90.337890625,-0.35171592235565186,5779968.0,0.958984375,0.2825520932674408,1.9550151824951172,1.0,0.07618673145771027,3762,3763,1156.973873788,0.5831631422042847,27.12890625
29968,1746456998.8297544,0.0078125,90.337890625,-0.23949642479419708,5801472.0,0.958984375,0.21875,1.9550151824951172,1.0,0.10574225336313248,3776,3777,1161.129336554,0.4971241056919098,26.04166603088379
30184,1746457006.8493044,0.0078125,90.337890625,-0.21359992027282715,5842944.0,0.958984375,0.275390625,1.9550151824951172,1.0,0.05545715615153313,3803,3804,1169.149086568,0.5717369914054871,27.14453125
30256,1746457009.5356948,0.0078125,90.337890625,-0.3319566249847412,5856768.0,0.958984375,0.298828125,1.9550151824951172,1.0,0.13167086243629456,3812,3813,1171.835378905,0.5976561307907104,27.08203125
30288,1746457010.7140315,0.0078125,90.337890625,-0.30703723430633545,5862912.0,0.958984375,0.291015625,1.9550151824951172,1.0,0.07070392370223999,3816,3817,1173.013615101,0.5820311307907104,26.63541603088379
30304,1746457011.3144004,0.0078125,90.337890625,-0.30656689405441284,5865984.0,0.958984375,0.271484375,1.9550151824951172,1.0,0.0812796950340271,3818,3819,1173.614000489,0.567312479019165,27.01041603088379
30360,1746457013.3905313,0.0078125,90.337890625,-0.3142063617706299,5876736.0,0.958984375,0.2701822817325592,1.9550151824951172,1.0,0.101723313331604,3825,3826,1175.690119877,0.5568436980247498,26.47005271911621
30384,1746457014.2871444,0.0078125,90.337890625,-0.3202468156814575,5881344.0,0.958984375,0.2194010466337204,1.9550151824951172,1.0,0.1079786866903305,3828,3829,1176.586735725,0.4933992624282837,26.30989646911621
30456,1746457016.9565847,0.0078125,90.337890625,-0.3075975179672241,5895168.0,0.958984375,0.2044270783662796,1.9550151824951172,1.0,0.10823957622051239,3837,3838,1179.256160456,0.49665096402168274,27.73177146911621
30464,1746457017.2526162,0.0078125,90.337890625,-0.21812504529953003,5896704.0,0.958984375,0.28125,1.9550151824951172,1.0,0.08201779425144196,3838,3839,1179.552275978,0.5805589556694031,27.01041603088379
30640,1746457023.784636,0.0078125,90.337890625,-0.4110654592514038,5930496.0,0.958984375,0.197265625,1.9550151824951172,1.0,0.09094949066638947,3860,3861,1186.084371332,0.44712841510772705,24.30338478088379
30728,1746457027.053873,0.0078125,90.337890625,-0.39517730474472046,5947392.0,0.958984375,0.2571614682674408,1.9550151824951172,1.0,0.06404424458742142,3871,3872,1189.353458336,0.5529496073722839,27.45052146911621
30808,1746457030.0255423,0.0078125,90.337890625,-0.4036497175693512,5962752.0,0.958984375,0.2805989682674408,1.9550151824951172,1.0,0.06150960922241211,3881,3882,1192.325127958,0.5819790959358215,27.28125
31064,1746457039.5882924,0.0078125,88.7578125,-0.2924787998199463,6011904.0,0.978515625,0.2662760317325592,1.9762758016586304,1.0,0.06854899227619171,3913,3914,1201.887848953,0.5506110191345215,26.22786521911621
31104,1746457041.0727174,0.0078125,88.7578125,-0.292715847492218,6019584.0,0.978515625,0.279296875,1.9762758016586304,1.0,0.08074535429477692,3918,3919,1203.372287657,0.5766527652740479,26.91275978088379
31208,1746457044.9517686,0.0078125,88.7578125,-0.28626418113708496,6039552.0,0.978515625,0.298828125,1.9762758016586304,1.0,0.06244987994432449,3931,3932,1207.251467168,0.5976561307907104,26.98307228088379
31240,1746457046.131368,0.0078125,88.7578125,-0.278035044670105,6045696.0,0.978515625,0.220703125,1.9762758016586304,1.0,0.06317251920700073,3935,3936,1208.430934038,0.49593570828437805,25.86328125
31312,1746457048.81951,0.0078125,88.7578125,-0.32703888416290283,6059520.0,0.978515625,0.3229166567325592,1.9762758016586304,1.0,0.09271760284900665,3944,3945,1211.119094044,0.6458332538604736,28.27864646911621
31424,1746457052.9636147,0.0078125,88.7578125,-0.2610964775085449,6081024.0,0.978515625,0.2194010466337204,1.9762758016586304,1.0,0.08225192129611969,3958,3959,1215.26322392,0.4933263063430786,26.25
31472,1746457054.757389,0.0078125,88.7578125,-0.30939096212387085,6090240.0,0.978515625,0.224609375,1.9762758016586304,1.0,0.056722622364759445,3964,3965,1217.05711957,0.5114825367927551,26.81640625
31504,1746457055.9469032,0.0078125,88.7578125,-0.3674395680427551,6096384.0,0.978515625,0.2174479216337204,1.9762758016586304,1.0,0.06860239803791046,3968,3969,1218.246626208,0.5016371011734009,26.98567771911621
31544,1746457057.419176,0.0078125,88.7578125,-0.34383344650268555,6104064.0,0.978515625,0.2649739682674408,1.9762758016586304,1.0,0.06519971042871475,3973,3974,1219.71875172,0.5700972080230713,27.34635353088379
31632,1746457060.683076,0.0078125,88.7578125,-0.3592587411403656,6120960.0,0.978515625,0.3111979067325592,1.9762758016586304,1.0,0.05819365754723549,3984,3985,1222.982668296,0.6223957538604736,27.6875
31672,1746457062.1717944,0.0078125,88.7578125,-0.32187357544898987,6128640.0,0.978515625,0.259765625,1.9762758016586304,1.0,0.07515665888786316,3989,3990,1224.471362399,0.5573228001594543,27.171875
31864,1746457069.291559,0.0078125,88.7578125,-0.29372382164001465,6165504.0,0.978515625,0.2565104067325592,1.9762758016586304,1.0,0.0564662367105484,4013,4014,1231.591152144,0.5545372366905212,26.97135353088379
31952,1746457072.5533164,0.0078125,88.7578125,-0.29285138845443726,6182400.0,0.978515625,0.306640625,1.9762758016586304,1.0,0.05708150565624237,4024,4025,1234.852890651,0.6132811307907104,27.42838478088379
32040,1746457075.8158474,0.0078125,88.7578125,-0.27951449155807495,6199296.0,0.978515625,0.283203125,1.9762758016586304,1.0,0.06211555376648903,4035,4036,1238.11545166,0.5895389914512634,27.97525978088379
32200,1746457081.7230573,0.0078125,88.7578125,-0.4249815344810486,6230016.0,0.978515625,0.283203125,1.9762758016586304,1.0,0.06868592649698257,4055,4056,1244.022629881,0.5852551460266113,27.34635353088379
32272,1746457084.4029949,0.0078125,88.7578125,-0.384137898683548,6243840.0,0.978515625,0.205078125,1.9762758016586304,1.0,0.07607658207416534,4064,4065,1246.702696003,0.5033262968063354,27.50130271911621
32360,1746457087.6658244,0.0078125,88.7578125,-0.37215656042099,6260736.0,0.978515625,0.2734375,1.9762758016586304,1.0,0.06333403289318085,4075,4076,1249.965438426,0.5899279117584229,28.59114646911621
32408,1746457089.446872,0.0078125,88.7578125,-0.35174480080604553,6269952.0,0.978515625,0.2252604216337204,1.9762758016586304,1.0,0.0724344328045845,4081,4082,1251.74650281,0.5155606865882874,27.89713478088379
