update_steps,_runtime,env_step,returned_won_episode,returned_episode,test_returned_episode_lengths,loss,returned_episode_returns,qvals,test_returned_episode,test_returned_episode_returns,returned_episode_lengths,test_returned_won_episode,_timestamp,grad_steps,_step
2084,871.301792057,3201024.0,0.0,0.0078125,82.60791015625,0.008370949886739254,0.15770670771598816,-0.4111841917037964,0.9999999403953552,0.6824579834938049,25.94270896911621,0.0,1746182331.4093342,16424,2083
2104,879.170034992,3231744.0,0.0,0.0078125,82.60791015625,0.009522723034024239,0.16743682324886322,-0.4013523757457733,0.9999999403953552,0.6824579834938049,22.947917938232422,0.0,1746182339.2775333,16584,2103
2107,880.343356824,3236352.0,0.0,0.0078125,82.60791015625,0.009124762378633022,0.2019287347793579,-0.39983701705932617,0.9999999403953552,0.6824579834938049,25.40755271911621,0.0,1746182340.4509048,16608,2106
2108,880.734975933,3237888.0,0.0,0.008463541977107525,82.60791015625,0.008650064468383789,0.19547170400619507,-0.40487393736839294,0.9999999403953552,0.6824579834938049,25.115886688232422,0.0,1746182340.842529,16616,2107
2131,889.782547159,3273216.0,0.0,0.0078125,82.60791015625,0.007887880317866802,0.21634936332702637,-0.4279469847679138,0.9999999403953552,0.6824579834938049,25.89192771911621,0.0,1746182349.8900728,16800,2130
2145,895.310186966,3294720.0,0.0,0.0078125,82.60791015625,0.007664872799068689,0.1667269766330719,-0.4347403645515442,0.9999999403953552,0.6824579834938049,22.838542938232422,0.0,1746182355.417708,16912,2144
2160,901.184092879,3317760.0,0.0,0.0078125,82.60791015625,0.0068841069005429745,0.20575547218322754,-0.4240764379501343,0.9999999403953552,0.6824579834938049,24.84375,0.0,1746182361.291639,17032,2159
2202,917.655631748,3382272.0,0.0,0.0078125,82.60791015625,0.007225456647574902,0.18410003185272217,-0.35554683208465576,0.9999999403953552,0.6824579834938049,23.96484375,0.0,1746182377.7631283,17368,2201
2209,920.394350625,3393024.0,0.0,0.0078125,82.60791015625,0.007159526459872723,0.2016505002975464,-0.3584712743759155,0.9999999403953552,0.6824579834938049,24.53645896911621,0.0,1746182380.501792,17424,2208
2230,928.673600944,3425280.0,0.0,0.0078125,82.60791015625,0.007240197621285915,0.1873629093170166,-0.38639432191848755,0.9999999403953552,0.6824579834938049,25.17578125,0.0,1746182388.7810037,17592,2229
2239,932.199541267,3439104.0,0.0,0.0078125,82.60791015625,0.011585703119635582,0.19784784317016602,-0.4034237861633301,0.9999999403953552,0.6824579834938049,25.03125,0.0,1746182392.307083,17664,2238
2241,932.982283527,3442176.0,0.0,0.0078125,82.60791015625,0.008292841725051403,0.2267797440290451,-0.3905948996543884,0.9999999403953552,0.6824579834938049,27.03125,0.0,1746182393.0898216,17680,2240
2260,940.453345347,3471360.0,0.0,0.008463541977107525,82.60791015625,0.007782375905662775,0.2632036805152893,-0.3992077112197876,0.9999999403953552,0.6824579834938049,28.75130271911621,0.0,1746182400.560743,17832,2259
