grad_steps,returned_episode,_timestamp,returned_episode_returns,test_returned_episode_returns,returned_won_episode,qvals,test_returned_episode,env_step,_runtime,test_returned_won_episode,loss,update_steps,_step,test_returned_episode_lengths,returned_episode_lengths
24584,0.0481770858168602,1746177025.1844213,0.5191624164581299,0.6703080534934998,0.0,-0.388631671667099,1.0,4767744.0,1054.067224033,0.016590097919106483,0.18366378545761108,3104,3103,15.763654708862305,16.56966209411621
24656,0.0625,1746177028.1225226,0.5412978529930115,0.6703080534934998,0.0,-0.3817507028579712,1.0,4781568.0,1057.005344887,0.016590097919106483,0.1788569986820221,3113,3112,15.763654708862305,13.031901359558105
24728,0.0592447929084301,1746177031.0610507,0.5605686902999878,0.6703080534934998,0.0,-0.38095107674598694,1.0,4795392.0,1059.94385669,0.016590097919106483,0.1687886118888855,3122,3121,15.763654708862305,13.854818344116211
24848,0.0520833358168602,1746177035.9590354,0.5519098043441772,0.6703080534934998,0.0,-0.3698713481426239,1.0,4818432.0,1064.84182182,0.016590097919106483,0.19469982385635376,3137,3136,15.763654708862305,15.255860328674316
25000,0.0520833358168602,1746177042.1660085,0.5530382990837097,0.6703080534934998,0.009765625931322575,-0.3687737286090851,1.0,4847616.0,1071.048853549,0.016590097919106483,0.17262053489685059,3156,3155,15.763654708862305,15.275391578674316
25064,0.0566406287252903,1746177044.7809389,0.5501736998558044,0.6703080534934998,0.01106770895421505,-0.36589616537094116,1.0,4859904.0,1073.663746458,0.016590097919106483,0.16026467084884644,3164,3163,15.763654708862305,14.187500953674316
25200,0.0533854179084301,1746177050.330432,0.5611980557441711,0.6703080534934998,0.010416666977107525,-0.36224281787872314,1.0,4886016.0,1079.213226697,0.016590097919106483,0.18637222051620483,3181,3180,15.763654708862305,15.236979484558105
25312,0.0618489608168602,1746177054.9061904,0.551801323890686,0.6703080534934998,0.01302083395421505,-0.39024513959884644,1.0,4907520.0,1083.788979788,0.016590097919106483,0.22824546694755554,3195,3194,15.763654708862305,13.492838859558105
25488,0.0533854179084301,1746177062.090786,0.6208117604255676,0.6703080534934998,0.0455729179084301,-0.37733370065689087,1.0,4941312.0,1090.973593796,0.016590097919106483,0.2504802346229553,3217,3216,15.763654708862305,14.987630844116211
25528,0.0579427108168602,1746177063.7230551,0.5764540433883667,0.6703080534934998,0.0299479179084301,-0.37605780363082886,1.0,4948992.0,1092.605855014,0.016590097919106483,0.26945769786834717,3222,3221,15.763654708862305,14.497396469116211
25696,0.0566406287252903,1746177070.581968,0.5338759422302246,0.6703080534934998,0.0,-0.3956795334815979,1.0,4981248.0,1099.464782524,0.016590097919106483,0.20548808574676514,3243,3242,15.763654708862305,14.145833969116211
25872,0.0520833358168602,1746177077.8454483,0.546115517616272,0.7136133313179016,0.01302083395421505,-0.3831959366798401,1.0,5015040.0,1106.728241152,0.03448275849223137,0.2915138900279999,3265,3264,18.303449630737305,15.581380844116211
26264,0.0546875037252903,1746177093.8470585,0.560763955116272,0.7136133313179016,0.014322916977107525,-0.41140469908714294,1.0,5090304.0,1122.729860052,0.03448275849223137,0.27503037452697754,3314,3313,18.303449630737305,14.705079078674316
26296,0.0559895858168602,1746177095.1531615,0.5929688811302185,0.7136133313179016,0.03515625,-0.40460920333862305,1.0,5096448.0,1124.035972789,0.03448275849223137,0.2545725703239441,3318,3317,18.303449630737305,14.732422828674316
26480,0.0527343787252903,1746177102.664152,0.580512285232544,0.7136133313179016,0.013671875931322575,-0.41123735904693604,1.0,5131776.0,1131.546951297,0.03448275849223137,0.29422640800476074,3341,3340,18.303449630737305,15.273438453674316
26576,0.0546875037252903,1746177106.5848424,0.5678820610046387,0.7136133313179016,0.011718750931322575,-0.41239282488822937,1.0,5150208.0,1135.46764189,0.03448275849223137,0.28204548358917236,3353,3352,18.303449630737305,15.341797828674316
