grad_steps,loss,_timestamp,test_returned_episode_lengths,test_returned_episode,_runtime,returned_episode_returns,qvals,env_step,test_returned_won_episode,update_steps,test_returned_episode_returns,returned_episode,returned_episode_lengths,_step,returned_won_episode
25376,0.1631062626838684,1746162673.0133238,83.8655014038086,1.0,1324.83374225,0.6154857277870178,-0.9704729914665222,4919808.0,0.7933723330497742,3203,1.7768162488937378,0.0078125,28.18359375,3202,0.28125
25536,0.16060636937618256,1746162681.052543,83.8655014038086,1.0,1332.873150663,0.556881308555603,-0.8854565620422363,4950528.0,0.7933723330497742,3223,1.7768162488937378,0.0078125,27.41927146911621,3222,0.2415364682674408
25600,0.18593384325504303,1746162684.2684426,83.8655014038086,1.0,1336.088857857,0.6785280108451843,-0.904761552810669,4962816.0,0.7933723330497742,3231,1.7768162488937378,0.0078125,29.131511688232422,3230,0.3209635615348816
25688,0.23211872577667236,1746162688.6967244,83.8655014038086,1.0,1340.517121428,0.5366318225860596,-0.715253472328186,4979712.0,0.7933723330497742,3242,1.7768162488937378,0.0078125,27.8125,3241,0.2265625
25744,0.1922496259212494,1746162691.5095193,83.8655014038086,1.0,1343.329909647,0.5897523164749146,-0.6320338249206543,4990464.0,0.7933723330497742,3249,1.7768162488937378,0.0078125,28.30208396911621,3248,0.2565104365348816
25816,0.1658942848443985,1746162695.227484,84.935546875,1.0,1347.04791342,0.5614818334579468,-0.6656330823898315,5004288.0,0.794921875,3258,1.7767391204833984,0.0078125,27.791667938232422,3257,0.2421875
25936,0.16301049292087555,1746162701.2565753,84.935546875,1.0,1353.077004475,0.5385091304779053,-0.7287956476211548,5027328.0,0.794921875,3273,1.7767391204833984,0.0078125,28.4921875,3272,0.2109375
26032,0.17821478843688965,1746162706.0800464,84.935546875,1.0,1357.900478249,0.3680039346218109,-0.6575564742088318,5045760.0,0.794921875,3285,1.7767391204833984,0.0078125,25.953125,3284,0.0970052108168602
26424,0.1824677437543869,1746162725.7827213,84.935546875,1.0,1377.603151816,0.5724773406982422,-0.7569661140441895,5121024.0,0.794921875,3334,1.7767391204833984,0.0078125,27.48046875,3333,0.2565104365348816
26576,0.19163572788238525,1746162733.421679,84.935546875,1.0,1385.242099991,0.4401688575744629,-0.8224599957466125,5150208.0,0.794921875,3353,1.7767391204833984,0.0078125,26.217449188232422,3352,0.15625
26680,0.15166610479354858,1746162738.650851,84.935546875,1.0,1390.471266457,0.5258479118347168,-0.7259551286697388,5170176.0,0.794921875,3366,1.7767391204833984,0.0078125,27.63802146911621,3365,0.2141927182674408
26768,0.18888315558433533,1746162743.0756898,84.935546875,1.0,1394.89611144,0.7135416865348816,-0.8211734294891357,5187072.0,0.794921875,3377,1.7767391204833984,0.0078125,28.627605438232422,3376,0.3567708432674408
26824,0.1516677737236023,1746162745.890013,84.935546875,1.0,1397.710447582,0.6337049603462219,-0.8152056932449341,5197824.0,0.794921875,3384,1.7767391204833984,0.0078125,30.3046875,3383,0.2682291865348816
26888,0.19060848653316498,1746162749.10978,84.935546875,1.0,1400.930198411,0.6071279644966125,-0.805622398853302,5210112.0,0.794921875,3392,1.7767391204833984,0.0078125,28.479167938232422,3391,0.265625
26904,0.2094823569059372,1746162749.913786,84.935546875,1.0,1401.734205862,0.7121402621269226,-0.8947038650512695,5213184.0,0.794921875,3394,1.7767391204833984,0.0078125,30.6484375,3393,0.3196614682674408
27048,0.13243287801742554,1746162757.148289,84.935546875,1.0,1408.96870818,0.6345052719116211,-0.7294287085533142,5240832.0,0.794921875,3412,1.7767391204833984,0.0078125,28.14453125,3411,0.30859375
27168,0.1957339644432068,1746162763.1812782,84.935546875,1.0,1415.001706615,0.6427313685417175,-0.6987388134002686,5263872.0,0.794921875,3427,1.7767391204833984,0.0078125,28.662761688232422,3426,0.29296875
27208,0.20226725935935974,1746162765.1907802,84.935546875,1.0,1417.011198747,0.6610941886901855,-0.6942359209060669,5271552.0,0.794921875,3432,1.7767391204833984,0.0078125,28.67317771911621,3431,0.3131510615348816
27264,0.162919819355011,1746162768.0049057,84.935546875,1.0,1419.825342245,0.5143057107925415,-0.73152756690979,5282304.0,0.794921875,3439,1.7767391204833984,0.0078125,27.377605438232422,3438,0.201171875
27304,0.1406114101409912,1746162770.0384479,84.935546875,1.0,1421.858853008,0.6572428941726685,-0.7507919669151306,5289984.0,0.794921875,3444,1.7767391204833984,0.0078125,28.97265625,3443,0.30078125
27496,0.1753336489200592,1746162779.6878505,84.935546875,1.0,1431.508284107,0.5614209175109863,-0.8120937347412109,5326848.0,0.794921875,3468,1.7767391204833984,0.0078125,28.09505271911621,3467,0.23046875
27624,0.17621469497680664,1746162786.1223688,84.935546875,1.0,1437.942788297,0.6369971036911011,-0.8627393245697021,5351424.0,0.794921875,3484,1.7767391204833984,0.0078125,29.33203125,3483,0.27734375
27640,0.1644635796546936,1746162786.9262035,84.935546875,1.0,1438.746591722,0.75,-0.8409850597381592,5354496.0,0.794921875,3486,1.7767391204833984,0.0078125,29.772136688232422,3485,0.375
27776,0.16095662117004395,1746162793.7605445,84.935546875,1.0,1445.580963803,0.6526042222976685,-0.8209811449050903,5380608.0,0.794921875,3503,1.7767391204833984,0.0078125,29.139324188232422,3502,0.296875
28024,0.15843145549297333,1746162806.2243598,84.935546875,1.0,1458.044761501,0.6708334684371948,-0.7897566556930542,5428224.0,0.794921875,3534,1.7767391204833984,0.0078125,29.06770896911621,3533,0.3170573115348816
28056,0.19675107300281525,1746162807.8315208,84.935546875,1.0,1459.652024181,0.6534139513969421,-0.782360315322876,5434368.0,0.794921875,3538,1.7767391204833984,0.0078125,28.390625,3537,0.3040364682674408
28184,0.183470219373703,1746162814.2633996,84.935546875,1.0,1466.083817121,0.6902222633361816,-0.7414858341217041,5458944.0,0.794921875,3554,1.7767391204833984,0.0078125,29.81770896911621,3553,0.3209635615348816
28192,0.16032160818576813,1746162814.6651871,84.935546875,1.0,1466.485597395,0.5679119825363159,-0.6891477704048157,5460480.0,0.794921875,3555,1.7767391204833984,0.0078125,27.998699188232422,3554,0.2434895932674408
28272,0.14722265303134918,1746162818.684957,84.935546875,1.0,1470.528891938,0.5650919675827026,-0.6562259197235107,5475840.0,0.794921875,3565,1.7767391204833984,0.0078125,28.875,3564,0.228515625
28320,0.13076767325401306,1746162821.0971284,84.935546875,1.0,1472.917551109,0.6655457019805908,-0.6828101873397827,5485056.0,0.794921875,3571,1.7767391204833984,0.0078125,29.115886688232422,3570,0.3020833432674408
28800,0.1225089579820633,1746162845.3224683,81.173828125,1.0,1497.142898853,0.6282273530960083,-0.6340028643608093,5577216.0,0.83984375,3631,1.8248088359832764,0.0078125,29.635417938232422,3630,0.271484375
28808,0.12240272760391235,1746162845.7244194,81.173828125,1.0,1497.54485585,0.5499817728996277,-0.6545793414115906,5578752.0,0.83984375,3632,1.8248088359832764,0.0078125,26.79296875,3631,0.240234375
28832,0.12165532261133194,1746162846.92987,81.173828125,1.0,1498.750306399,0.6115362048149109,-0.6698497533798218,5583360.0,0.83984375,3635,1.8248088359832764,0.00911458395421505,29.72395896911621,3634,0.2428385466337204
28984,0.1319679468870163,1746162854.5681808,81.173828125,1.0,1506.388601214,0.7128464579582214,-0.5860932469367981,5612544.0,0.83984375,3654,1.8248088359832764,0.0078125,29.81640625,3653,0.3424479365348816
29032,0.14224159717559814,1746162856.9797819,81.173828125,1.0,1508.800204047,0.5463969111442566,-0.64198899269104,5621760.0,0.83984375,3660,1.8248088359832764,0.0078125,26.93359375,3659,0.2389322966337204
29080,0.12274704873561859,1746162859.3920145,81.173828125,1.0,1511.212450005,0.5586590766906738,-0.5977575778961182,5630976.0,0.83984375,3666,1.8248088359832764,0.0078125,28.268230438232422,3665,0.2272135466337204
29152,0.10877594351768494,1746162863.0107858,81.173828125,1.0,1514.831205862,0.6999753713607788,-0.6039626598358154,5644800.0,0.83984375,3675,1.8248088359832764,0.0078125,29.96484375,3674,0.3151041865348816
29176,0.10768605768680573,1746162864.2170691,81.173828125,1.0,1516.037505464,0.5988912582397461,-0.5846202373504639,5649408.0,0.83984375,3678,1.8248088359832764,0.0078125,27.776042938232422,3677,0.2649739682674408
29336,0.12797811627388,1746162872.2575603,81.173828125,1.0,1524.077979296,0.6216418147087097,-0.4879072606563568,5680128.0,0.83984375,3698,1.8248088359832764,0.0078125,28.18489646911621,3697,0.2884114682674408
29344,0.11192595213651657,1746162872.6595187,81.173828125,1.0,1524.479925664,0.7169653177261353,-0.5169793367385864,5681664.0,0.83984375,3699,1.8248088359832764,0.0078125,29.2421875,3698,0.3404948115348816
29624,0.10164747387170792,1746162886.7332592,81.173828125,1.0,1538.553674754,0.6309174299240112,-0.4896000027656555,5735424.0,0.83984375,3734,1.8248088359832764,0.0078125,28.87109375,3733,0.2864583432674408
29656,0.10888110101222992,1746162888.3410006,81.173828125,1.0,1540.161424547,0.6320833563804626,-0.526058554649353,5741568.0,0.83984375,3738,1.8248088359832764,0.0078125,28.71875,3737,0.2838541865348816
30064,0.09114613384008408,1746162908.851085,81.173828125,1.0,1560.671504769,0.6550111174583435,-0.5103871822357178,5819904.0,0.83984375,3789,1.8248088359832764,0.0078125,28.63671875,3788,0.306640625
30152,0.1103898286819458,1746162913.2721436,81.173828125,1.0,1565.092547057,0.493478000164032,-0.5081428289413452,5836800.0,0.83984375,3800,1.8248088359832764,0.0078125,26.765625,3799,0.1907552182674408
30248,0.11064781993627548,1746162918.0952072,81.173828125,1.0,1569.915632847,0.591560959815979,-0.5282889008522034,5855232.0,0.83984375,3812,1.8248088359832764,0.0078125,28.03515625,3811,0.25390625
30288,0.0906742587685585,1746162920.1051435,81.173828125,1.0,1571.925557319,0.5415965914726257,-0.491573691368103,5862912.0,0.83984375,3817,1.8248088359832764,0.0078125,27.34375,3816,0.2317708432674408
30384,0.09659312665462494,1746162924.9378972,81.173828125,1.0,1576.758305537,0.7388285994529724,-0.5467430353164673,5881344.0,0.83984375,3829,1.8248088359832764,0.0078125,29.416667938232422,3828,0.3606770932674408
30896,0.1278066486120224,1746162950.6845071,81.173828125,1.0,1602.504911048,0.7056702375411987,-0.5683608651161194,5979648.0,0.83984375,3893,1.8248088359832764,0.0078125,29.07421875,3892,0.3359375
30912,0.12462927401065826,1746162951.4883592,81.173828125,1.0,1603.308761368,0.6687760353088379,-0.592807412147522,5982720.0,0.83984375,3895,1.8248088359832764,0.0078125,29.29427146911621,3894,0.3033854365348816
30936,0.11146612465381622,1746162952.695174,81.173828125,1.0,1604.515598432,0.7526041865348816,-0.5400549173355103,5987328.0,0.83984375,3898,1.8248088359832764,0.0078125,29.546875,3897,0.3763020932674408
31080,0.0940873920917511,1746162960.0390766,82.25341033935547,1.0,1611.859486153,0.7095785140991211,-0.5476682186126709,6014976.0,0.8693957328796387,3916,1.8600878715515137,0.0078125,28.9296875,3915,0.345703125
31104,0.09721881151199341,1746162961.2442663,82.25341033935547,1.0,1613.064665497,0.6352803707122803,-0.5537065267562866,6019584.0,0.8693957328796387,3919,1.8600878715515137,0.0078125,29.041667938232422,3918,0.2766927182674408
31128,0.10253498703241348,1746162962.4501235,82.25341033935547,1.0,1614.270526688,0.5716909766197205,-0.6162841320037842,6024192.0,0.8693957328796387,3922,1.8600878715515137,0.0078125,27.61328125,3921,0.2552083432674408
31152,0.09968394041061401,1746162963.655503,82.25341033935547,1.0,1615.475919966,0.8723958730697632,-0.6092926263809204,6028800.0,0.8693957328796387,3925,1.8600878715515137,0.0078125,31.03125,3924,0.4361979365348816
31264,0.10890360176563263,1746162969.2845619,82.25341033935547,1.0,1621.104985134,0.6758707761764526,-0.5447700023651123,6050304.0,0.8693957328796387,3939,1.8600878715515137,0.0078125,28.62630271911621,3938,0.3216145932674408
