update_steps,test_returned_episode_lengths,returned_episode_lengths,_timestamp,returned_episode_returns,_runtime,env_step,returned_episode,qvals,test_returned_episode_returns,loss,returned_won_episode,test_returned_won_episode,grad_steps,_step,test_returned_episode
4139,94.677734375,27.15234375,1746182500.5202818,0.5733603835105896,1680.557702328,6357504.0,0.0078125,-0.7170870304107666,1.4108785390853882,0.20740190148353577,0.2604166865348816,0.501953125,32864,4138,1.0
4141,94.677734375,26.897136688232422,1746182501.3135486,0.3130115866661072,1681.351014846,6360576.0,0.008463541977107525,-0.6924947500228882,1.4108785390853882,0.19651822745800018,0.0572916679084301,0.501953125,32880,4140,1.0
4163,94.677734375,27.34114646911621,1746182510.0305212,0.42231935262680054,1690.068034688,6394368.0,0.0078125,-0.7608896493911743,1.4108785390853882,0.21610265970230103,0.146484375,0.501953125,33056,4162,1.0
4176,94.677734375,28.125,1746182515.1883926,0.43037551641464233,1695.225842843,6414336.0,0.008463541977107525,-0.8366609811782837,1.4108785390853882,0.2778547406196594,0.1588541716337204,0.501953125,33160,4175,1.0
4179,94.677734375,26.7578125,1746182516.3783617,0.3713148534297943,1696.415812588,6418944.0,0.0078125,-0.8490002751350403,1.4108785390853882,0.22871671617031097,0.1100260466337204,0.501953125,33184,4178,1.0
4185,94.677734375,26.76692771911621,1746182518.755953,0.4247860312461853,1698.793404432,6428160.0,0.0078125,-0.7084963321685791,1.4108785390853882,0.19413280487060547,0.1653645932674408,0.501953125,33232,4184,1.0
4191,94.677734375,26.666667938232422,1746182521.133813,0.4090857207775116,1701.171266276,6437376.0,0.0078125,-0.7844913005828857,1.4108785390853882,0.18982666730880737,0.1360677182674408,0.501953125,33280,4190,1.0
4214,94.677734375,27.01953125,1746182530.24577,0.39807674288749695,1710.283233274,6472704.0,0.008463541977107525,-0.726226270198822,1.4108785390853882,0.1904141902923584,0.1282552182674408,0.501953125,33464,4213,1.0
4219,94.677734375,26.89974021911621,1746182532.2319386,0.41759786009788513,1712.269403321,6480384.0,0.0078125,-0.6960652470588684,1.4108785390853882,0.17524397373199463,0.1438802182674408,0.501953125,33504,4218,1.0
4236,90.6881103515625,25.69661521911621,1746182539.0649056,0.33270901441574097,1719.102360502,6506496.0,0.0078125,-0.7289482355117798,1.7124634981155396,0.1723036766052246,0.099609375,0.7485380172729492,33640,4235,1.0
