update_steps,test_returned_episode_lengths,rng3947986621/returned_episode_lengths,_timestamp,rng3947986621/returned_episode_returns,_runtime,rng3947986621/env_step,rng3947986621/test_returned_episode_lengths,rng3947986621/returned_episode,qvals,rng3947986621/qvals,returned_episode_lengths,env_step,test_returned_episode_returns,rng3947986621/loss,returned_won_episode,returned_episode_returns,test_returned_won_episode,rng3947986621/update_steps,returned_episode,loss,rng3947986621/test_returned_episode_returns,grad_steps,rng3947986621/grad_steps,_step,rng3947986621/test_returned_episode,rng3947986621/returned_won_episode,test_returned_episode,rng3947986621/test_returned_won_episode
710,52.84059524536133,30.78645896911621,1746181139.9444907,0.05752263590693474,319.981937237,1090560.0,52.84059524536133,0.014322916977107525,0.18989938497543335,0.18989938497543335,30.78645896911621,1090560.0,0.16403132677078247,0.09164100885391235,0.0,0.05752263590693474,0.0,710,0.014322916977107525,0.09164100885391235,0.16403132677078247,5432,5432,709,1.0,0.0,1.0,0.0
763,52.84059524536133,28.7578125,1746181160.960737,0.1126973032951355,340.998221617,1171968.0,52.84059524536133,0.01888020895421505,0.09267604351043701,0.09267604351043701,28.7578125,1171968.0,0.16403132677078247,0.08114134520292282,0.0,0.1126973032951355,0.0,763,0.01888020895421505,0.08114134520292282,0.16403132677078247,5856,5856,762,1.0,0.0,1.0,0.0
790,52.84059524536133,31.0546875,1746181171.6663613,0.1521439254283905,351.703812658,1213440.0,52.84059524536133,0.015625,-0.005928635597229004,-0.005928635597229004,31.0546875,1213440.0,0.16403132677078247,0.08545377850532532,0.0,0.1521439254283905,0.0,790,0.015625,0.08545377850532532,0.16403132677078247,6072,6072,789,1.0,0.0,1.0,0.0
815,52.84059524536133,30.358074188232422,1746181181.575376,0.11384700238704681,361.612829349,1251840.0,52.84059524536133,0.013671875,-0.10655686259269714,-0.10655686259269714,30.358074188232422,1251840.0,0.16403132677078247,0.13092952966690063,0.0,0.11384700238704681,0.0,815,0.013671875,0.13092952966690063,0.16403132677078247,6272,6272,814,1.0,0.0,1.0,0.0
823,52.84059524536133,30.717449188232422,1746181184.7458491,0.10656440258026123,364.783348693,1264128.0,52.84059524536133,0.015625,-0.08895677328109741,-0.08895677328109741,30.717449188232422,1264128.0,0.16403132677078247,0.1362517923116684,0.0,0.10656440258026123,0.0,823,0.015625,0.1362517923116684,0.16403132677078247,6336,6336,822,1.0,0.0,1.0,0.0
836,52.84059524536133,31.54427146911621,1746181189.8988822,0.19072715938091278,369.936346345,1284096.0,52.84059524536133,0.01497395895421505,-0.13291412591934204,-0.13291412591934204,31.54427146911621,1284096.0,0.16403132677078247,0.11054129898548126,0.0,0.19072715938091278,0.0,836,0.01497395895421505,0.11054129898548126,0.16403132677078247,6440,6440,835,1.0,0.0,1.0,0.0
849,52.84059524536133,30.20442771911621,1746181195.0772555,0.1282089203596115,375.114693845,1304064.0,52.84059524536133,0.01106770895421505,-0.15215176343917847,-0.15215176343917847,30.20442771911621,1304064.0,0.16403132677078247,0.07291621714830399,0.0,0.1282089203596115,0.0,849,0.01106770895421505,0.07291621714830399,0.16403132677078247,6544,6544,848,1.0,0.0,1.0,0.0
865,52.84059524536133,30.5625,1746181201.4197056,0.14107142388820648,381.457151091,1328640.0,52.84059524536133,0.010416666977107525,-0.055617306381464005,-0.055617306381464005,30.5625,1328640.0,0.16403132677078247,0.09939233958721161,0.0,0.14107142388820648,0.0,865,0.010416666977107525,0.09939233958721161,0.16403132677078247,6672,6672,864,1.0,0.0,1.0,0.0
872,52.84059524536133,31.546875,1746181204.1942964,0.16833728551864624,384.231729039,1339392.0,52.84059524536133,0.014322916977107525,-0.09801878780126572,-0.09801878780126572,31.546875,1339392.0,0.16403132677078247,0.07213208079338074,0.0,0.16833728551864624,0.0,872,0.014322916977107525,0.07213208079338074,0.16403132677078247,6728,6728,871,1.0,0.0,1.0,0.0
906,52.84059524536133,31.334636688232422,1746181217.670606,0.1758546531200409,397.708079558,1391616.0,52.84059524536133,0.013671875,-0.20747366547584534,-0.20747366547584534,31.334636688232422,1391616.0,0.16403132677078247,0.05797233432531357,0.0,0.1758546531200409,0.0,906,0.013671875,0.05797233432531357,0.16403132677078247,7000,7000,905,1.0,0.0,1.0,0.0
