test_returned_episode,returned_episode,loss,test_returned_won_episode,returned_episode_lengths,test_returned_episode_lengths,_timestamp,test_returned_episode_returns,returned_episode_returns,returned_won_episode,env_step,qvals,grad_steps,update_steps,_step,_runtime
1.0,0.017578125,0.19216817617416382,0.9788135886192322,29.73502540588379,44.34491729736328,1746195561.296681,1.977419376373291,1.242096185684204,0.609375,3548160.0,-0.9143490195274353,18232,2310,2309,921.815005634
1.0,0.01627604104578495,0.20022162795066833,0.9788135886192322,30.708984375,44.34491729736328,1746195562.8066218,1.977419376373291,1.2614843845367432,0.619140625,3554304.0,-0.8931230306625366,18264,2314,2313,923.324858785
1.0,0.015625,0.1915607750415802,0.9788135886192322,29.93099021911621,44.34491729736328,1746195565.0840638,1.977419376373291,1.2721353769302368,0.6360676884651184,3563520.0,-0.9135285019874573,18312,2320,2319,925.602286707
1.0,0.015625,0.16903144121170044,0.9788135886192322,29.63932228088379,44.34491729736328,1746195566.9628909,1.977419376373291,1.2321549654006958,0.6015625,3571200.0,-0.8914324045181274,18352,2325,2324,927.481090615
1.0,0.017578125,0.13029396533966064,0.9788135886192322,30.28580665588379,44.34491729736328,1746195570.007225,1.977419376373291,1.2795865535736084,0.6184895634651184,3583488.0,-0.7056680917739868,18416,2333,2332,930.525506207
1.0,0.015625,0.1833997517824173,0.9788135886192322,30.32161521911621,44.34491729736328,1746195572.2683856,1.977419376373291,1.3033852577209473,0.6516926884651184,3592704.0,-0.7886301875114441,18464,2339,2338,932.786588992
1.0,0.015625,0.16069522500038147,0.9788135886192322,31.04166603088379,44.34491729736328,1746195580.62258,1.977419376373291,1.1341274976730347,0.5423176884651184,3626496.0,-0.8233650922775269,18640,2361,2360,941.140811
1.0,0.01627604104578495,0.1697288155555725,0.9788135886192322,30.072265625,44.34491729736328,1746195583.6274219,1.977419376373291,1.26171875,0.630859375,3638784.0,-0.8774037957191467,18704,2369,2368,944.145639927
1.0,0.015625,0.11404967308044434,0.9788135886192322,30.328125,44.34491729736328,1746195593.4982917,1.977419376373291,1.1847721338272095,0.5813801884651184,3678720.0,-0.7909760475158691,18912,2395,2394,954.016614922
1.0,0.014973958022892475,0.11489337682723999,0.9788135886192322,29.01171875,44.34491729736328,1746195598.7690244,1.977419376373291,0.9982128143310547,0.4342447817325592,3700224.0,-0.7939441204071045,19024,2409,2408,959.287250321
