update_steps,returned_episode_lengths,returned_won_episode,test_returned_episode,test_returned_episode_returns,_step,loss,test_returned_won_episode,returned_episode,_runtime,grad_steps,test_returned_episode_lengths,returned_episode_returns,qvals,env_step,_timestamp
1936,26.677736282348633,0.5729166865348816,1.0,1.8198081254959106,1935,0.28603917360305786,0.8452285528182983,0.0182291679084301,678.304493971,15240,42.512428283691406,1.2127749919891357,0.9493864178657532,2973696,1747629886.5646005
1971,28.285158157348633,0.5794271230697632,1.0,1.8646502494812012,1970,0.27391472458839417,0.8797224164009094,0.02148437686264515,689.804613458,15520,41.07787322998047,1.2458374500274658,0.9812086224555969,3027456,1747629898.064848
1975,28.35872459411621,0.5091146230697632,1.0,1.8646502494812012,1974,0.3060224652290344,0.8797224164009094,0.017578125,691.120626515,15552,41.07787322998047,1.1147961616516113,0.9727128744125366,3033600,1747629899.3808267
1983,25.93684959411621,0.5774739980697632,1.0,1.8646502494812012,1982,0.2857942581176758,0.8797224164009094,0.0201822929084301,693.739842229,15616,41.07787322998047,1.2303377389907837,0.9798516631126404,3045888,1747629902.0000482
1985,28.781251907348633,0.4576823115348816,1.0,1.8646502494812012,1984,0.34208858013153076,0.8797224164009094,0.0162760429084301,694.393760327,15632,41.07787322998047,1.0638515949249268,0.9994001388549805,3048960,1747629902.653969
1996,27.383464813232422,0.5520833730697632,1.0,1.8646502494812012,1995,0.30445602536201477,0.8797224164009094,0.0182291679084301,697.991259654,15720,41.07787322998047,1.1768364906311035,0.985602080821991,3065856,1747629906.2514002
2000,26.90169334411621,0.6223958730697632,1.0,1.8646502494812012,1999,0.3052445650100708,0.8797224164009094,0.0201822929084301,699.283941314,15752,41.07787322998047,1.2948973178863525,0.9939571619033813,3072000,1747629907.544084
2011,28.66536521911621,0.4472656548023224,1.0,1.8646502494812012,2010,0.29439598321914673,0.8797224164009094,0.01888020895421505,702.86800494,15840,41.07787322998047,1.0074301958084106,0.9948368072509766,3088896,1747629911.1282017
2019,27.861330032348633,0.5651041865348816,1.0,1.8646502494812012,2018,0.3054898977279663,0.8797224164009094,0.01953125186264515,705.48029606,15904,41.07787322998047,1.2204654216766357,0.9863264560699463,3101184,1747629913.740445
2040,27.476564407348633,0.5703125,1.0,1.8646502494812012,2039,0.32905256748199463,0.8797224164009094,0.02148437686264515,712.316951391,16072,41.07787322998047,1.2561147212982178,0.9613828659057617,3133440,1747629920.5771582
2043,26.69466209411621,0.5703125,1.0,1.8646502494812012,2042,0.3245101571083069,0.8797224164009094,0.02148437686264515,713.30528609,16096,41.07787322998047,1.2286343574523926,0.9743402004241943,3138048,1747629921.5655046
2055,28.47395896911621,0.6236979365348816,1.0,1.8646502494812012,2054,0.2527899146080017,0.8797224164009094,0.02083333395421505,717.231860995,16192,41.07787322998047,1.333115577697754,0.9832096099853516,3156480,1747629925.47622
2061,29.674480438232422,0.5690104365348816,1.0,1.8646502494812012,2060,0.2657153606414795,0.8797224164009094,0.0162760429084301,719.174840465,16240,41.07787322998047,1.1885379552841187,0.9798123836517334,3165696,1747629927.4350674
2068,27.421876907348633,0.6100260615348816,1.0,1.8646502494812012,2067,0.24292725324630737,0.8797224164009094,0.01953125186264515,721.469872935,16296,41.07787322998047,1.2530676126480103,0.9806710481643677,3176448,1747629929.7300828
2077,26.697917938232422,0.5442708730697632,1.0,1.8646502494812012,2076,0.3205950856208801,0.8797224164009094,0.02148437686264515,724.400961321,16368,41.07787322998047,1.2172211408615112,0.9926959276199341,3190272,1747629932.6611137
2091,27.733074188232422,0.5475260615348816,1.0,1.8646502494812012,2090,0.2713592052459717,0.8797224164009094,0.01888020895421505,728.977089179,16480,41.07787322998047,1.1733535528182983,0.9776505827903748,3211776,1747629937.237241
2139,26.442058563232422,0.5345052480697632,1.0,1.8646502494812012,2138,0.3477739989757538,0.8797224164009094,0.0201822929084301,744.65499228,16864,41.07787322998047,1.1456882953643799,0.9839665293693542,3285504,1747629952.9151454
2149,27.521486282348633,0.6250000596046448,1.0,1.8646502494812012,2148,0.23932451009750366,0.8797224164009094,0.01953125186264515,747.931484207,16944,41.07787322998047,1.2954986095428467,1.0320684909820557,3300864,1747629956.1917148
2157,28.56380271911621,0.5475260615348816,1.0,1.8646502494812012,2156,0.26932090520858765,0.8797224164009094,0.01953125186264515,750.553216837,17008,41.07787322998047,1.1983058452606201,1.0062589645385742,3313152,1747629958.8134549
2162,28.625001907348633,0.5722656846046448,1.0,1.8646502494812012,2161,0.24158862233161926,0.8797224164009094,0.01888020895421505,752.209476953,17048,41.07787322998047,1.2358734607696533,1.0272417068481445,3320832,1747629960.469585
2165,28.59114646911621,0.5032552480697632,1.0,1.8646502494812012,2164,0.3053217828273773,0.8797224164009094,0.02083333395421505,753.189471387,17072,41.07787322998047,1.1406428813934326,1.0242698192596436,3325440,1747629961.4495645
2180,24.65559959411621,0.5677083730697632,1.0,1.8646502494812012,2179,0.33544647693634033,0.8797224164009094,0.02278645895421505,758.073799913,17192,41.07787322998047,1.2310309410095215,1.0393258333206177,3348480,1747629966.3339255
2200,25.834636688232422,0.5781250596046448,1.0,1.8646502494812012,2199,0.2855204641819,0.8797224164009094,0.0201822929084301,764.578311229,17352,41.07787322998047,1.2137995958328247,1.0417797565460205,3379200,1747629972.8385336
2201,28.86849021911621,0.4570312798023224,1.0,1.8646502494812012,2200,0.27328723669052124,0.8797224164009094,0.01888020895421505,764.900234636,17360,41.07787322998047,1.0828145742416382,1.0384925603866577,3380736,1747629973.1604443
2211,28.742189407348633,0.6425781846046448,1.0,1.8646502494812012,2210,0.29091668128967285,0.8797224164009094,0.01953125186264515,768.175285712,17440,41.07787322998047,1.3084063529968262,1.041522741317749,3396096,1747629976.435425
2217,28.30013084411621,0.4550781548023224,1.0,1.8646502494812012,2216,0.29134702682495117,0.8797224164009094,0.0182291679084301,770.119768675,17488,41.07787322998047,1.065760850906372,1.0386466979980469,3405312,1747629978.3800054
2227,26.683595657348633,0.5625,1.0,1.8646502494812012,2226,0.2942447364330292,0.8797224164009094,0.02083333395421505,773.385012501,17568,41.07787322998047,1.2287758588790894,1.0465288162231445,3420672,1747629981.6451032
2238,28.957683563232422,0.5957031846046448,1.0,1.8646502494812012,2237,0.3611975312232971,0.8797224164009094,0.0182291679084301,776.948864448,17656,41.07787322998047,1.2309623956680298,1.0459712743759155,3437568,1747629985.2090893
2246,27.93294334411621,0.556640625,1.0,1.8646502494812012,2245,0.3796624541282654,0.8797224164009094,0.0182291679084301,779.567170754,17720,41.07787322998047,1.1906530857086182,1.0657919645309448,3449856,1747629987.8272681
2260,27.17513084411621,0.53515625,1.0,1.8646502494812012,2259,0.2875398099422455,0.8797224164009094,0.01888020895421505,784.142393105,17832,41.07787322998047,1.1549479961395264,1.0300841331481934,3471360,1747629992.4025118
2318,29.10286521911621,0.4680989682674408,1.0,1.873151421546936,2317,0.3630863428115845,0.8890600800514221,0.0162760429084301,803.127222122,18296,41.19183349609375,1.1051493883132935,1.0611295700073242,3560448,1747630011.3874297
2321,29.548830032348633,0.5514323115348816,1.0,1.873151421546936,2320,0.4002142548561096,0.8890600800514221,0.0162760429084301,804.106809733,18320,41.19183349609375,1.1758873462677002,1.0605063438415527,3565056,1747630012.3670268
2357,27.87630271911621,0.5677083730697632,1.0,1.873151421546936,2356,0.29083380103111267,0.8890600800514221,0.01953125186264515,815.846233493,18608,41.19183349609375,1.2088651657104492,1.019139289855957,3620352,1747630024.1064577
2372,29.42903709411621,0.6145833730697632,1.0,1.873151421546936,2371,0.24307256937026978,0.8890600800514221,0.01692708395421505,820.751137699,18728,41.19183349609375,1.2643250226974487,1.017409086227417,3643392,1747630029.011368
2411,28.22005271911621,0.5611979365348816,1.0,1.873151421546936,2410,0.33370012044906616,0.8890600800514221,0.02148437686264515,833.484763452,19040,41.19183349609375,1.233982801437378,0.9765496850013733,3703296,1747630041.7449791
2428,28.43684959411621,0.5872396230697632,1.0,1.873151421546936,2427,0.34493303298950195,0.8890600800514221,0.0182291679084301,839.03273372,19176,41.19183349609375,1.219873070716858,0.9688141345977783,3729408,1747630047.292952
2435,26.71224021911621,0.5755208730697632,1.0,1.873151421546936,2434,0.29340851306915283,0.8890600800514221,0.02148437686264515,841.336101976,19232,41.19183349609375,1.263818383216858,0.9934132099151611,3740160,1747630049.596319
2441,28.06380271911621,0.6243489980697632,1.0,1.873151421546936,2440,0.3236134350299835,0.8890600800514221,0.0182291679084301,843.284896573,19280,41.19183349609375,1.2958099842071533,0.985690712928772,3749376,1747630051.5451324
2453,28.630861282348633,0.6341146230697632,1.0,1.873151421546936,2452,0.28871840238571167,0.8890600800514221,0.0182291679084301,847.212532648,19376,41.19183349609375,1.2941999435424805,0.9758431911468506,3767808,1747630055.4727685
2458,28.93099021911621,0.4778646230697632,1.0,1.873151421546936,2457,0.27473005652427673,0.8890600800514221,0.01497395895421505,848.840390579,19416,41.19183349609375,1.0206307172775269,1.003350853919983,3775488,1747630057.1006103
2461,28.072267532348633,0.537109375,1.0,1.873151421546936,2460,0.3280201256275177,0.8890600800514221,0.0221354179084301,849.818104817,19440,41.19183349609375,1.2107216119766235,0.9962784647941589,3780096,1747630058.0782473
2475,27.90755271911621,0.5924479365348816,1.0,1.873151421546936,2474,0.26920121908187866,0.8890600800514221,0.0182291679084301,854.385103859,19552,41.19183349609375,1.2269437313079834,0.9977850914001465,3801600,1747630062.6452527
