test_returned_episode_lengths,_runtime,_timestamp,env_step,qvals,returned_episode_lengths,returned_episode_returns,loss,test_returned_episode,update_steps,returned_episode,test_returned_won_episode,test_returned_episode_returns,grad_steps,returned_won_episode,_step
89.03515625,1046.485658227,1746196109.898177,5240832.0,-0.37647074460983276,26.67838478088379,0.5369487404823303,0.10466405749320984,1.0,3412,0.0078125,0.958984375,1.9557470083236694,27048,0.24609375,3411
89.03515625,1050.91774888,1746196114.3303006,5263872.0,-0.4074929356575012,27.12369728088379,0.5674582719802856,0.12506340444087982,1.0,3427,0.0078125,0.958984375,1.9557470083236694,27168,0.2727864682674408,3426
89.03515625,1052.394595504,1746196115.8071551,5271552.0,-0.4640015959739685,25.41666603088379,0.4357326030731201,0.11158941686153412,1.0,3432,0.0078125,0.958984375,1.9557470083236694,27208,0.1712239533662796,3431
89.03515625,1054.46367732,1746196117.876237,5282304.0,-0.43401458859443665,27.26302146911621,0.3216414451599121,0.1300399899482727,1.0,3439,0.0078125,0.958984375,1.9557470083236694,27264,0.068359375,3438
89.03515625,1055.940636587,1746196119.353203,5289984.0,-0.5927709937095642,26.87109375,0.48923519253730774,0.1253696084022522,1.0,3444,0.0078125,0.958984375,1.9557470083236694,27304,0.203125,3443
89.03515625,1063.030942451,1746196126.443487,5326848.0,-0.6864535808563232,27.32161521911621,0.608072817325592,0.1221698522567749,1.0,3468,0.0078125,0.958984375,1.9557470083236694,27496,0.3040364682674408,3467
89.03515625,1067.762505656,1746196131.175055,5351424.0,-0.6542750597000122,26.11979103088379,0.5624998807907104,0.09907396137714386,1.0,3484,0.0078125,0.958984375,1.9557470083236694,27624,0.28125,3483
89.03515625,1068.373385928,1746196131.785947,5354496.0,-0.6510061025619507,26.04036521911621,0.5454027652740479,0.08728815615177155,1.0,3486,0.0078125,0.958984375,1.9557470083236694,27640,0.263671875,3485
89.03515625,1073.399230348,1746196136.8117838,5380608.0,-0.5588143467903137,27.34635353088379,0.590381920337677,0.0978827029466629,1.0,3503,0.0078125,0.958984375,1.9557470083236694,27776,0.287109375,3502
89.03515625,1082.559493967,1746196145.972058,5428224.0,-0.5417948961257935,26.75650978088379,0.5035060048103333,0.08977147936820984,1.0,3534,0.0078125,0.958984375,1.9557470083236694,28024,0.2200520783662796,3533
89.03515625,1083.740797224,1746196147.1533713,5434368.0,-0.5410544872283936,26.37369728088379,0.5119938254356384,0.0874830037355423,1.0,3538,0.0078125,0.958984375,1.9557470083236694,28056,0.2291666716337204,3537
89.03515625,1088.466550921,1746196151.879105,5458944.0,-0.3802860379219055,26.171875,0.5115910768508911,0.09811133146286011,1.0,3554,0.0078125,0.958984375,1.9557470083236694,28184,0.2369791716337204,3553
89.03515625,1088.763073732,1746196152.1756287,5460480.0,-0.40906086564064026,25.76302146911621,0.4658471643924713,0.1210295706987381,1.0,3555,0.0078125,0.958984375,1.9557470083236694,28192,0.1940104216337204,3554
89.03515625,1091.721499277,1746196155.1340544,5475840.0,-0.3826442360877991,26.67447853088379,0.5421145558357239,0.08826731145381927,1.0,3565,0.0078125,0.958984375,1.9557470083236694,28272,0.255859375,3564
89.03515625,1093.49348475,1746196156.9060442,5485056.0,-0.40646395087242126,26.3359375,0.5515034198760986,0.0864575058221817,1.0,3571,0.0078125,0.958984375,1.9557470083236694,28320,0.2682291567325592,3570
91.666015625,1111.316778159,1746196174.729339,5577216.0,-0.34836190938949585,26.375,0.572916567325592,0.0799989253282547,1.0,3631,0.0078125,0.966796875,1.9626821279525757,28800,0.2864583432674408,3630
91.666015625,1111.613484857,1746196175.0260255,5578752.0,-0.3185620903968811,26.07421875,0.5467048287391663,0.0615595243871212,1.0,3632,0.0078125,0.966796875,1.9626821279525757,28808,0.2643229067325592,3631
91.666015625,1112.498849206,1746196175.9113746,5583360.0,-0.3464350402355194,26.66145896911621,0.5649721622467041,0.07107359170913696,1.0,3635,0.0078125,0.966796875,1.9626821279525757,28832,0.2740885317325592,3634
91.666015625,1118.116345916,1746196181.5288947,5612544.0,-0.39189982414245605,26.89453125,0.5911457538604736,0.0839090570807457,1.0,3654,0.0078125,0.966796875,1.9626821279525757,28984,0.2955729067325592,3653
91.666015625,1119.89156052,1746196183.3041103,5621760.0,-0.3938315510749817,26.55599021911621,0.5348575711250305,0.0720217302441597,1.0,3660,0.0078125,0.966796875,1.9626821279525757,29032,0.2473958283662796,3659
91.666015625,1121.666960494,1746196185.0795283,5630976.0,-0.38292255997657776,27.79036521911621,0.5942708253860474,0.07278124988079071,1.0,3666,0.0078125,0.966796875,1.9626821279525757,29080,0.2858072817325592,3665
91.666015625,1124.330053007,1746196187.7424128,5644800.0,-0.4233008325099945,27.58984375,0.6023784279823303,0.07697005569934845,1.0,3675,0.0078125,0.966796875,1.9626821279525757,29152,0.2923177182674408,3674
91.666015625,1125.217490403,1746196188.6300335,5649408.0,-0.3674588203430176,26.40234375,0.5625137686729431,0.08473584055900574,1.0,3678,0.0078125,0.966796875,1.9626821279525757,29176,0.2727864682674408,3677
