_timestamp,test_returned_episode_lengths,returned_won_episode,returned_episode,loss,qvals,env_step,returned_episode_lengths,grad_steps,returned_episode_returns,test_returned_won_episode,update_steps,test_returned_episode_returns,_step,test_returned_episode,_runtime
1746170386.602829,58.813663482666016,0.0,0.01497395895421505,0.09339027106761932,-0.7478177547454834,4228608.0,27.44075584411621,21776,0.2443576604127884,0.0,2753,0.41797104477882385,2752,1.0,938.620168156
1746170393.460821,58.813663482666016,0.0,0.012369791977107525,0.0825439989566803,-0.7369970083236694,4260864.0,29.09309959411621,21944,0.3036241829395294,0.0,2774,0.41797104477882385,2773,1.0,945.478152079
1746170402.6025088,58.813663482666016,0.0,0.01302083395421505,0.0671669989824295,-0.7436035871505737,4303872.0,29.09505271911621,22168,0.24769969284534454,0.0,2802,0.41797104477882385,2801,1.0,954.619858032
1746170408.1502585,58.813663482666016,0.0,0.011718750931322575,0.06122271716594696,-0.7437213659286499,4329984.0,27.592449188232422,22304,0.18070749938488007,0.0,2819,0.41797104477882385,2818,1.0,960.167576189
1746170419.5757782,58.813663482666016,0.0,0.00911458395421505,0.055972807109355927,-0.7418221235275269,4383744.0,24.558595657348633,22584,0.14114584028720856,0.0,2854,0.41797104477882385,2853,1.0,971.593124741
1746170420.2282906,58.813663482666016,0.0,0.014322916977107525,0.05302257835865021,-0.7382073402404785,4386816.0,25.14192771911621,22600,0.23283423483371735,0.0,2856,0.41797104477882385,2855,1.0,972.24562194
1746170426.7570212,58.813663482666016,0.0,0.015625,0.04849927872419357,-0.7483740448951721,4417536.0,26.125652313232422,22760,0.27597659826278687,0.0,2876,0.41797104477882385,2875,1.0,978.774345383
1746170437.2073948,58.813663482666016,0.0,0.012369791977107525,0.04915796220302582,-0.742965817451477,4466688.0,28.756511688232422,23016,0.254991352558136,0.0,2908,0.41797104477882385,2907,1.0,989.224702001
1746170438.8426347,58.813663482666016,0.0,0.013671875931322575,0.04968883842229843,-0.7321869134902954,4474368.0,28.026042938232422,23056,0.279296875,0.0,2913,0.41797104477882385,2912,1.0,990.859958118
1746170441.456833,58.813663482666016,0.0,0.013671875931322575,0.04924978315830231,-0.7304939031600952,4486656.0,29.580730438232422,23120,0.2998698353767395,0.0,2921,0.41797104477882385,2920,1.0,993.474174238
1746170452.303318,61.669742584228516,0.0,0.010416666977107525,0.03940968215465546,-0.7244919538497925,4537344.0,30.914064407348633,23384,0.24785159528255463,0.0013157895300537348,2954,0.5619299411773682,2953,1.0000001192092896,1004.320647339
1746170455.2416155,61.669742584228516,0.0,0.013671875931322575,0.03758212924003601,-0.7352347373962402,4551168.0,26.342449188232422,23456,0.22903648018836975,0.0013157895300537348,2963,0.5619299411773682,2962,1.0000001192092896,1007.258953872
1746170464.0548496,61.669742584228516,0.0,0.015625,0.032982487231492996,-0.7326345443725586,4592640.0,27.369142532348633,23672,0.3042752146720886,0.0013157895300537348,2990,0.5619299411773682,2989,1.0000001192092896,1016.072208404
1746170472.5396965,61.669742584228516,0.0,0.01692708395421505,0.03303728252649307,-0.7390284538269043,4632576.0,26.410808563232422,23880,0.3156033456325531,0.0013157895300537348,3016,0.5619299411773682,3015,1.0000001192092896,1024.557047565
1746170482.3348422,61.669742584228516,0.0,0.017578125,0.028896722942590714,-0.7171894907951355,4678656.0,26.73567771911621,24120,0.3347656726837158,0.0013157895300537348,3046,0.5619299411773682,3045,1.0000001192092896,1034.35219498
1746170482.9898992,61.669742584228516,0.0,0.01302083395421505,0.029547929763793945,-0.7018751502037048,4681728.0,25.748699188232422,24136,0.3361762464046478,0.0013157895300537348,3048,0.5619299411773682,3047,1.0000001192092896,1035.007258286
1746170485.2759247,61.669742584228516,0.0,0.0221354179084301,0.028345104306936264,-0.7362679243087769,4692480.0,25.484376907348633,24192,0.428298681974411,0.0013157895300537348,3055,0.5619299411773682,3054,1.0000001192092896,1037.293250205
1746170487.5594647,61.669742584228516,0.0,0.02148437686264515,0.029727783054113388,-0.7344501614570618,4703232.0,25.51106834411621,24248,0.3616754114627838,0.0013157895300537348,3062,0.5619299411773682,3061,1.0000001192092896,1039.576779262
1746170487.8857238,61.669742584228516,0.0,0.017578125,0.028212498873472214,-0.7416143417358398,4704768.0,27.21224021911621,24256,0.359071284532547,0.0013157895300537348,3063,0.5619299411773682,3062,1.0000001192092896,1039.903044222
1746170495.064122,61.669742584228516,0.0162760429084301,0.01692708395421505,0.02598026767373085,-0.7251662611961365,4738560.0,25.57552146911621,24432,0.353537380695343,0.0013157895300537348,3085,0.5619299411773682,3084,1.0000001192092896,1047.081455377
1746170495.3906271,61.669742584228516,0.0,0.02148437686264515,0.025688111782073975,-0.716239333152771,4740096.0,25.85286521911621,24440,0.45768237113952637,0.0013157895300537348,3086,0.5619299411773682,3085,1.0000001192092896,1047.407959208
1746170496.6959019,61.669742584228516,0.0,0.0279947929084301,0.031774912029504776,-0.6831986904144287,4746240.0,21.89778709411621,24472,0.4325087368488312,0.0013157895300537348,3090,0.5619299411773682,3089,1.0000001192092896,1048.713251859
