_timestamp,update_steps,env_step,returned_won_episode,loss,qvals,returned_episode,returned_episode_lengths,grad_steps,test_returned_episode_returns,test_returned_episode_lengths,_step,returned_episode_returns,test_returned_episode,test_returned_won_episode,_runtime
1746176093.3259418,2601,3995136.0,0.1621093899011612,0.8101801872253418,-0.6389727592468262,0.0462239608168602,17.129558563232422,20560,1.266419768333435,21.474607467651367,2600,0.8491005301475525,1.0,0.3898426592350006,1232.293783655
1746176107.8643456,2633,4044288.0,0.1451822966337204,0.9979212284088135,-0.6104251146316528,0.0481770858168602,16.240886688232422,20816,1.266419768333435,21.474607467651367,2632,0.8051019310951233,1.0,0.3898426592350006,1246.832241175
1746176116.5031483,2652,4073472.0,0.1718750149011612,1.0597296953201294,-0.6328327059745789,0.0429687537252903,18.371095657348633,20968,1.266419768333435,21.474607467651367,2651,0.8495384454727173,1.0,0.3898426592350006,1255.471019723
1746176131.61201,2685,4124160.0,0.010416666977107525,1.062979817390442,-0.6171766519546509,0.0494791679084301,15.783855438232422,21232,1.266419768333435,21.474607467651367,2684,0.631830096244812,1.0,0.3898426592350006,1270.579874375
1746176132.0647683,2686,4125696.0,0.1861979216337204,1.0357153415679932,-0.6095379590988159,0.0436197929084301,17.967449188232422,21240,1.266419768333435,21.474607467651367,2685,0.8735560178756714,1.0,0.3898426592350006,1271.032860211
1746176137.5255547,2698,4144128.0,0.130859375,1.1015996932983398,-0.5998712778091431,0.0449218787252903,17.84375,21336,1.266419768333435,21.474607467651367,2697,0.8240176439285278,1.0,0.3898426592350006,1276.493443711
1746176145.7432601,2716,4171776.0,0.1458333432674408,1.1728322505950928,-0.6534425020217896,0.0455729179084301,17.265625,21480,1.266419768333435,21.474607467651367,2715,0.8311909437179565,1.0,0.3898426592350006,1284.711122937
1746176146.6487346,2718,4174848.0,0.1595052182674408,1.1283023357391357,-0.6358277797698975,0.0423177108168602,17.623699188232422,21496,1.266419768333435,21.474607467651367,2717,0.8460110425949097,1.0,0.3898426592350006,1285.616588771
1746176150.3100438,2726,4187136.0,0.1790364682674408,1.1318981647491455,-0.6435383558273315,0.0436197929084301,17.892578125,21560,1.266419768333435,21.474607467651367,2725,0.8680991530418396,1.0,0.3898426592350006,1289.278188907
1746176151.2161028,2728,4190208.0,0.2701823115348816,1.1962802410125732,-0.6438585519790649,0.0416666679084301,18.572917938232422,21576,1.266419768333435,21.474607467651367,2727,0.9696496725082397,1.0,0.3898426592350006,1290.183968199
1746176159.4002275,2746,4217856.0,0.3098958432674408,1.0111573934555054,-0.6815512180328369,0.0416666679084301,18.07356834411621,21720,1.266419768333435,21.474607467651367,2745,1.0096710920333862,1.0,0.3898426592350006,1298.368079241
1746176169.0003564,2767,4250112.0,0.1106770858168602,0.9261339902877808,-0.6674715280532837,0.0442708358168602,17.99349021911621,21888,1.266419768333435,21.474607467651367,2766,0.7647610306739807,1.0,0.3898426592350006,1307.968252809
1746176173.1017294,2776,4263936.0,0.1770833432674408,0.8676087856292725,-0.6935714483261108,0.0403645858168602,18.986330032348633,21960,1.266419768333435,21.474607467651367,2775,0.8589726686477661,1.0,0.3898426592350006,1312.069576594
1746176182.2294097,2796,4294656.0,0.1627604216337204,0.9560120105743408,-0.649209201335907,0.0449218787252903,17.315105438232422,22120,1.266419768333435,21.474607467651367,2795,0.8457150459289551,1.0,0.3898426592350006,1321.197344271
1746176190.8964984,2815,4323840.0,0.1673177182674408,1.1307032108306885,-0.6328531503677368,0.0436197929084301,17.93359375,22272,1.266419768333435,21.474607467651367,2814,0.8514560461044312,1.0,0.3898426592350006,1329.864409743
1746176202.7442453,2841,4363776.0,0.2259114682674408,1.2386970520019531,-0.664310097694397,0.0410156287252903,18.140625,22480,1.266419768333435,21.474607467651367,2840,0.932587742805481,1.0,0.3898426592350006,1341.712151509
1746176205.466666,2847,4372992.0,0.1731770932674408,1.3502225875854492,-0.6533558964729309,0.0436197929084301,17.537109375,22528,1.266419768333435,21.474607467651367,2846,0.8553978204727173,1.0,0.3898426592350006,1344.434672664
1746176208.6392841,2854,4383744.0,0.1940104216337204,1.4438806772232056,-0.6557549238204956,0.0423177108168602,18.024089813232422,22584,1.266419768333435,21.474607467651367,2853,0.8868846297264099,1.0,0.3898426592350006,1347.607143833
1746176232.38383,2906,4463616.0,0.1744791716337204,1.2962514162063599,-0.6724852323532104,0.0462239608168602,17.44856834411621,23000,1.266419768333435,21.474607467651367,2905,0.8546402454376221,1.0,0.3898426592350006,1371.351656749
1746176236.4756947,2915,4477440.0,0.1009114608168602,1.1298210620880127,-0.671920657157898,0.0442708358168602,17.38671875,23072,1.266419768333435,21.474607467651367,2914,0.755362331867218,1.0,0.3898426592350006,1375.443538329
1746176241.133639,2925,4492800.0,0.1783854216337204,1.3066456317901611,-0.6522688865661621,0.0442708358168602,17.643230438232422,23152,1.2506227493286133,21.89157485961914,2924,0.8747397065162659,1.0,0.3688644766807556,1380.101521226
1746176249.3215947,2943,4520448.0,0.1334635466337204,1.2857438325881958,-0.6138057708740234,0.0436197929084301,17.75716209411621,23296,1.2506227493286133,21.89157485961914,2942,0.8241596817970276,1.0,0.3688644766807556,1388.289461749
1746176250.2224727,2945,4523520.0,0.1855468899011612,1.2707407474517822,-0.6252216696739197,0.0410156287252903,17.684246063232422,23312,1.2506227493286133,21.89157485961914,2944,0.859209418296814,1.0,0.3688644766807556,1389.190309724
1746176250.6711867,2946,4525056.0,0.1875000149011612,1.2728512287139893,-0.6225283145904541,0.0449218787252903,17.373046875,23320,1.2506227493286133,21.89157485961914,2945,0.8734257221221924,1.0,0.3688644766807556,1389.639043993
1746176252.4785192,2950,4531200.0,0.1764322966337204,1.2611887454986572,-0.611312210559845,0.0436197929084301,18.23046875,23352,1.2506227493286133,21.89157485961914,2949,0.8779712319374084,1.0,0.3688644766807556,1391.446315426
1746176269.2999482,2987,4588032.0,0.1061197966337204,1.1345314979553223,-0.7635768055915833,0.0462239608168602,16.314453125,23648,1.2506227493286133,21.89157485961914,2986,0.745454728603363,1.0,0.3688644766807556,1408.267797536
1746176286.129986,3024,4644864.0,0.1933593899011612,1.446860671043396,-0.7036190032958984,0.0462239608168602,17.006511688232422,23944,1.2506227493286133,21.89157485961914,3023,0.8613401055335999,1.0,0.3688644766807556,1425.097800895
1746176288.8773227,3030,4654080.0,0.1809895932674408,1.5405347347259521,-0.7010179162025452,0.0423177108168602,17.785808563232422,23992,1.2506227493286133,21.89157485961914,3029,0.8636719584465027,1.0,0.3688644766807556,1427.845179168
1746176294.7535484,3043,4674048.0,0.1393229216337204,1.2771761417388916,-0.6930590867996216,0.0488281287252903,16.37239646911621,24096,1.2506227493286133,21.89157485961914,3042,0.7939750552177429,1.0,0.3688644766807556,1433.721394385
1746176296.1069918,3046,4678656.0,0.1692708432674408,1.3083847761154175,-0.7084496021270752,0.0390625037252903,18.06380271911621,24120,1.2506227493286133,21.89157485961914,3045,0.8584044575691223,1.0,0.3688644766807556,1435.074797828
1746176298.8455641,3052,4687872.0,0.1705729216337204,1.2062273025512695,-0.7096150517463684,0.0475260429084301,16.51106834411621,24168,1.2506227493286133,21.89157485961914,3051,0.8231772184371948,1.0,0.3688644766807556,1437.813382502
1746176300.6838367,3056,4694016.0,0.2128906399011612,1.436228632926941,-0.7068936824798584,0.0442708358168602,17.869792938232422,24200,1.2506227493286133,21.89157485961914,3055,0.9191288948059082,1.0,0.3688644766807556,1439.651752559
1746176303.8940704,3063,4704768.0,0.06640625,1.3977736234664917,-0.6830947399139404,0.0481770858168602,16.50716209411621,24256,1.2506227493286133,21.89157485961914,3062,0.7238519191741943,1.0,0.3688644766807556,1442.862029005
1746176304.8048048,3065,4707840.0,0.1822916716337204,1.2779121398925781,-0.6846579909324646,0.0462239608168602,16.806640625,24272,1.2506227493286133,21.89157485961914,3064,0.8669272661209106,1.0,0.3688644766807556,1443.772714706
1746176305.275395,3066,4709376.0,0.130859375,1.2804197072982788,-0.716763973236084,0.0468750037252903,16.942058563232422,24280,1.2506227493286133,21.89157485961914,3065,0.7864347696304321,1.0,0.3688644766807556,1444.243459161
1746176312.0981178,3081,4732416.0,0.0865885466337204,1.3801710605621338,-0.6487587690353394,0.0449218787252903,17.242839813232422,24400,1.2506227493286133,21.89157485961914,3080,0.7424953579902649,1.0,0.3688644766807556,1451.066060243
1746176317.093841,3092,4749312.0,0.1529947966337204,1.2988207340240479,-0.6843600273132324,0.0468750037252903,16.76302146911621,24488,1.2506227493286133,21.89157485961914,3091,0.8156606554985046,1.0,0.3688644766807556,1456.06167836
1746176320.287648,3099,4760064.0,0.0677083358168602,1.304345965385437,-0.691442608833313,0.0481770858168602,16.160808563232422,24544,1.2506227493286133,21.89157485961914,3098,0.7182766199111938,1.0,0.3688644766807556,1459.255462009
1746176328.91512,3118,4789248.0,0.1230468824505806,1.2600058317184448,-0.7259382009506226,0.0468750037252903,16.58919334411621,24696,1.2506227493286133,21.89157485961914,3117,0.7808002829551697,1.0,0.3688644766807556,1467.883052384
1746176330.303618,3121,4793856.0,0.0813802108168602,1.2326240539550781,-0.7139502763748169,0.0481770858168602,16.221355438232422,24720,1.2506227493286133,21.89157485961914,3120,0.7293206453323364,1.0,0.3688644766807556,1469.272001811
1746176332.5645041,3126,4801536.0,0.1380208432674408,1.189128041267395,-0.7289608716964722,0.0416666679084301,17.56184959411621,24760,1.2506227493286133,21.89157485961914,3125,0.7885773181915283,1.0,0.3688644766807556,1471.53235026
1746176334.820365,3131,4809216.0,0.1907552182674408,1.164193868637085,-0.7512525916099548,0.0442708358168602,17.246746063232422,24800,1.2506227493286133,21.89157485961914,3130,0.844992995262146,1.0,0.3688644766807556,1473.788229429
1746176340.7277343,3144,4829184.0,0.0501302108168602,1.0493637323379517,-0.7651208639144897,0.0481770858168602,16.172527313232422,24904,1.2506227493286133,21.89157485961914,3143,0.6754499077796936,1.0,0.3688644766807556,1479.695607321
1746176347.1043584,3158,4850688.0,0.0989583358168602,1.1012334823608398,-0.7242317199707031,0.0475260429084301,16.39583396911621,25016,1.2506227493286133,21.89157485961914,3157,0.7370620965957642,1.0,0.3688644766807556,1486.072236038
1746176352.5343332,3170,4869120.0,0.1041666716337204,1.0032880306243896,-0.7256063222885132,0.0475260429084301,16.544921875,25112,1.2506227493286133,21.89157485961914,3169,0.7529711723327637,1.0,0.3688644766807556,1491.502200981
1746176354.7919388,3175,4876800.0,0.1236979216337204,1.0629905462265015,-0.7039682269096375,0.0449218787252903,17.279296875,25152,1.2506227493286133,21.89157485961914,3174,0.785831093788147,1.0,0.3688644766807556,1493.759767408
1746176356.6075516,3179,4882944.0,0.2070312649011612,1.0206072330474854,-0.7204532623291016,0.0410156287252903,18.127605438232422,25184,1.2506227493286133,21.89157485961914,3178,0.9244793057441711,1.0,0.3688644766807556,1495.575580131
